－－－－－－－	ffff
マリル	2ab7
マリル	2ab7
マリルリ	2ab8
マリルリ	2ab8
まるくなる	266f
まるで	0e31
マルノーム	0170
マルマイン	2a65
マルマイン	2a65
まわしげり	261b
まんが	1a30
マンキー	2a38
まんぞく	1238
マンタイン	2ae2
みかた	0633
みがわり	26a4
みぎ	1e29
みきり	26c5
ミサイルばり	262a
みず	045f
みずあそび	275a
ミズゴロウ	011b
みずでっぽう	2637
ミストボール	2728
みずのはどう	2760
みずのベール	0460
みせて	1642
みたい	1239
みたいな	103b
みだれづき	261f
みだれひっかき	269a
みちづれ	26c2
みて	1643
みとめない	0634
みとめる	0635
みどり	0217
ミニリュウ	2a93
みねうち	26ce
みやぶる	26c1
ミュウ	2a97
ミュウツー	2a96
ミラーコート	26f3
みらいよち	26f8
みる	1644
ミルクのみ	26d0
ミルタンク	2af1
ミロカロス	0149
みんな	0a3d
みんなが	0a3e
みんなに	0a3f
みんなの	0a40
みんなは	0a41
ムード	0e32
ムウマ	2ac8
むかし	1c26
むきー！！	0c34
むし	0461
むしのしらせ	0462
むしろ	0e33
ムチュール	2aee
むてき	0636
むねキュン	281d
むふふ	0c35
むむ	0c36
めいそう	275b
メール	1824
メガドレイン	2648
メガトンキック	2619
メガトンパンチ	2605
メガニウム	2a9a
メガホーン	26e0
めざす	1645
めざめるパワー	26ed
めずらしい	123a
メタグロス	0190
メタモン	2a84
メタルクロー	26e8
メタング	018f
めちゃめちゃ	201f
メッセージ	1825
めっぽう	0e34
メノクラゲ	2a48
メノクラゲ	2a48
メラメラ	2020
メリープ	2ab3
メロメロ	26d5
メロメロボディ	0463
めんえき	0464
もう	1c27
もうか	0465
もうすぐ	1c28
モード	0e35
モーレツ	281e
もくようび	1c29
モココ	2ab4
もしもし	0824
もって	1646
もっと	0e36
もの	103c
ものひろい	0466
ものまね	2666
もはや	0e37
もよう	0467
もらいび	0468
もらった	0637
モルフォン	2a31
もん	103d
モンジャラ	2a72
やあ	0825
やくそく	1826
やさしい	143f
ヤジロン	013e
やすみ	1a31
やだ	123b
やつあたり	26da
やったー	123c
やっと	0e38
やっぱり	0e39
やっほー	0826
ヤドキング	2ac7
ヤドラン	2a50
やどりぎのタネ	2649
ヤドン	2a4f
やばい	123d
ヤミカラス	2ac6
ヤミラミ	0142
やられた	123e
やられて	123f
やるき	0469
ヤルキモノ	016d
ヤング	281f
ヤンヤンマ	2ac1
ユキワラシ	015a
ゆずる	1647
ユニオン	2219
ゆびをふる	2676
ゆめ	1827
ゆめくい	268a
ゆるす	1648
ゆるせ	1649
ユレイドル	0185
ユンゲラー	2a40
ユンゲラー	2a40
よ！	103e
よう	0827
ようかいえき	2633
ようこそ	0828
ようちえん	1828
ようりょくそ	046a
よー	103f
ヨーギラス	2af6
よーし	0c37
よーん	1040
よかった	1240
ヨガのポーズ	2660
ヨガパワー	046b
よく	1440
よこどり	2721
よし！	0c38
よてい	1a32
よなか	1c2a
よね	1041
ヨマワル	0169
よゆう	0638
より	0e3a
よる	1c2b
ヨルノズク	2aa4
よろしく	0829
よわい	0639
よわすぎ	063a
よわって	1441
ライコウ	2af3
らいしゅう	1c2c
ライチュウ	2a1a
ライチュウ	2a1a
ライバル	0a42
ライフ	1829
ライボルト	0152
らく	1442
らくしょう	063b
ラグラージ	011d
ラクライ	0151
らしい	1443
ラジオ	182a
ラスターパージ	2727
ラッキー	2a71
ラッタ	2a14
ラティアス	0197
ラティオス	0198
ラブカス	0145
ラプラス	2a83
ラブラブ	2021
ラフレシア	2a2d
ラフレシア	2a2d
ラララ	0c39
ラルトス	0188
られない	164a
られる	164b
ランク	2214
ランターン	2aab
ランターン	2aab
リーダー	063c
リーフ	0218
リーフブレード	275c
リザード	2a05
リザードン	2a06
リサイクル	2716
リフレクター	2673
リフレッシュ	271f
リベンジ	2717
リボン	2215
りゅうこう	1a33
りゅうのいかり	2652
りゅうのいぶき	26e1
りゅうのまい	275d
りょこう	1a34
リリーラ	0184
リングマ	2ad9
りんぷん	046c
ルージュラ	2a7c
ルーム	221a
ルール	063d
ルギア	2af9
ルック	1a35
ルナトーン	015c
ルビー	0211
るよ	1042
ルリリ	015e
ルンパッパ	0129
るんるん	2022
レアコイル	2a52
レアコイル	2a52
れいとうパンチ	2608
れいとうビーム	263a
レジアイス	0192
レジスチル	0193
レジロック	0191
レックウザ	0196
レッツラゴー	2820
レッド	0219
レディアン	2aa6
レディバ	2aa5
れば	0e3b
レベル	0212
れんぞくぎり	26d2
れんぞくパンチ	2604
レンタル	182b
ロケットずつき	2682
ロコン	2a25
ロコン	2a25
ロゼリア	016b
ロックオン	26c7
ロックブラスト	275e
ロマン	1241
ろんがい	1242
わーい	0c3a
ワールド	182c
わーん！！	0c3b
ワイヤレス	221b
ワオ	0c3c
ワカシャモ	0119
わから	1243
わかり	1244
わかる	164c
わくわく	2023
わけ	1043
わざ	063e
わし	0a43
わすれ	164d
わたくし	0a44
わたし	0a45
わたしが	0a46
わたしに	0a47
わたしの	0a48
わたしは	0a49
わたしを	0a4a
ワタッコ	2abd
わたほうし	26b2
わっ！！	0c3d
ワニノコ	2a9e
わははは！	0c3e
わよ！	1044
わるあがき	26a5
わるい	1444
ワンリキー	2a42
ワンリキー	2a42
