Ｎｏ,分類,アイテム名,アイテム名：漢字,アイコンキャラ(*.sch),アイコンパレット(*.scl),買値,装備効果,威力,装備効果説明＆発動タイミング,なげつける威力,なげつける効果,しぜんのめぐみ威力,しぜんのめぐみタイプ,ついばむ効果,フィールドバック画面１行目：18文字目安,フィールドバック画面２行目：18文字目安,フィールドバック画面３行目：18文字目安,漢字の説明１,漢字の説明２,漢字の説明３,重要,便利,field保存先,b保存ボール,b保存戦闘用,b保存ＨＰ,b保存状態異常,b保存PP,Ｆ使用,Ｂ使用,ワークタイプ,ワーク,能力ガード,クリティカル,攻撃力,防御力,素早さ,命中率,特殊攻撃,特殊防御,レベルup,pp回復flg　（０＝選択ナシ、１＝選択アリ  ,pp回復値,pp値up,HP努力値,攻撃努力値,防御努力値,素早努力値,特攻努力値,特防努力値,なつき度1　（なつき度100未満）,なつき度2　（なつき度100以上200未満,なつき度3　（なつき度200以上）,眠り回復,毒回復,やけど回復,こおり回復,まひ回復,混乱回復,メロメロ回復,ＨＰ回復,瀕死回復,進化,備考／入手場所…ＦＳ（フレンドリーショップ）
169,きのみ,ザロクのみ,ザロクのみ,item_153,item_153,000020,0,0,,10,0,70,こおり,0,ポケモンに　あげると,とても　なつき　やすくなるが,ＨＰの　きそポイントは　さがる。,ポケモンに　あげると,とても　なつき　やすくなるが,ＨＰの　きそポイントは　さがる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,10,5,2,0,0,0,0,0,0,0,0,0,0,パルパーク：スコアによって入手。
170,きのみ,ネコブのみ,ネコブのみ,item_154,item_154,000020,0,0,,10,0,70,かくとう,0,ポケモンに　あげると,とても　なつき　やすくなるが,こうげきの　きそポイントは　さがる。,ポケモンに　あげると,とても　なつき　やすくなるが,こうげきの　きそポイントは　さがる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,10,5,2,0,0,0,0,0,0,0,0,0,0,パルパーク：スコアによって入手。
171,きのみ,タポルのみ,タポルのみ,item_155,item_155,000020,0,0,,10,0,70,どく,0,ポケモンに　あげると,とても　なつき　やすくなるが,ぼうぎょの　きそポイントは　さがる。,ポケモンに　あげると,とても　なつき　やすくなるが,ぼうぎょの　きそポイントは　さがる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,10,5,2,0,0,0,0,0,0,0,0,0,0,パルパーク：スコアによって入手。
172,きのみ,ロメのみ,ロメのみ,item_156,item_156,000020,0,0,,10,0,70,じめん,0,ポケモンに　あげると,とても　なつき　やすくなるが,とくこうの　きそポイントは　さがる。,ポケモンに　あげると,とても　なつき　やすくなるが,とくこうの　きそポイントは　さがる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,10,5,2,0,0,0,0,0,0,0,0,0,0,パルパーク：スコアによって入手。
173,きのみ,ウブのみ,ウブのみ,item_157,item_157,000020,0,0,,10,0,70,ひこう,0,ポケモンに　あげると,とても　なつき　やすくなるが,とくぼうの　きそポイントは　さがる。,ポケモンに　あげると,とても　なつき　やすくなるが,とくぼうの　きそポイントは　さがる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,10,5,2,0,0,0,0,0,0,0,0,0,0,パルパーク：スコアによって入手。
174,きのみ,マトマのみ,マトマのみ,item_158,item_158,000020,0,0,,10,0,70,エスパー,0,ポケモンに　あげると,とても　なつき　やすくなるが,すばやさの　きそポイントは　さがる。,ポケモンに　あげると,とても　なつき　やすくなるが,すばやさの　きそポイントは　さがる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,10,5,2,0,0,0,0,0,0,0,0,0,0,パルパーク：スコアによって入手。
175,きのみ,モコシのみ,モコシのみ,item_159,item_159,000020,0,0,,10,0,70,むし,0,シンオウちほうでは　ポフィン　という,ポケモンに　あげる　おかしの,ざいりょうとして　ゆうめい。,シンオウちほうでは　ポフィン　という,ポケモンに　あげる　おかしの,ざいりょうとして　ゆうめい。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
176,きのみ,ゴスのみ,ゴスのみ,item_160,item_160,000020,0,0,,10,0,70,いわ,0,シンオウちほうでは　ポフィン　という,ポケモンに　あげる　おかしの,ざいりょうとして　ゆうめい。,シンオウちほうでは　ポフィン　という,ポケモンに　あげる　おかしの,ざいりょうとして　ゆうめい。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
177,きのみ,ラブタのみ,ラブタのみ,item_161,item_161,000020,0,0,,10,0,70,ゴースト,0,シンオウちほうでは　ポフィン　という,ポケモンに　あげる　おかしの,ざいりょうとして　ゆうめい。,シンオウちほうでは　ポフィン　という,ポケモンに　あげる　おかしの,ざいりょうとして　ゆうめい。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
178,きのみ,ノメルのみ,ノメルのみ,item_162,item_162,000020,0,0,,10,0,70,ドラゴン,0,シンオウちほうでは　ポフィン　という,ポケモンに　あげる　おかしの,ざいりょうとして　ゆうめい。,シンオウちほうでは　ポフィン　という,ポケモンに　あげる　おかしの,ざいりょうとして　ゆうめい。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
179,きのみ,ノワキのみ,ノワキのみ,item_163,item_163,000020,0,0,,10,0,70,あく,0,シンオウちほうでは　ポフィン　という,ポケモンに　あげる　おかしの,ざいりょうとして　ゆうめい。,シンオウちほうでは　ポフィン　という,ポケモンに　あげる　おかしの,ざいりょうとして　ゆうめい。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
180,きのみ,シーヤのみ,シーヤのみ,item_164,item_164,000020,0,0,,10,0,70,はがね,0,シンオウちほうでは　ポフィン　という,ポケモンに　あげる　おかしの,ざいりょうとして　ゆうめい。,シンオウちほうでは　ポフィン　という,ポケモンに　あげる　おかしの,ざいりょうとして　ゆうめい。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
181,きのみ,カイスのみ,カイスのみ,item_165,item_165,000020,0,0,,10,0,80,ほのお,0,シンオウちほうでは　ポフィン　という,ポケモンに　あげる　おかしの,ざいりょうとして　ゆうめい。,シンオウちほうでは　ポフィン　という,ポケモンに　あげる　おかしの,ざいりょうとして　ゆうめい。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
182,きのみ,ドリのみ,ドリのみ,item_166,item_166,000020,0,0,,10,0,80,みず,0,シンオウちほうでは　ポフィン　という,ポケモンに　あげる　おかしの,ざいりょうとして　ゆうめい。,シンオウちほうでは　ポフィン　という,ポケモンに　あげる　おかしの,ざいりょうとして　ゆうめい。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
183,きのみ,ベリブのみ,ベリブのみ,item_167,item_167,000020,0,0,,10,0,80,でんき,0,シンオウちほうでは　ポフィン　という,ポケモンに　あげる　おかしの,ざいりょうとして　ゆうめい。,シンオウちほうでは　ポフィン　という,ポケモンに　あげる　おかしの,ざいりょうとして　ゆうめい。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
184,きのみ,オッカのみ,オッカのみ,item_420,item_420,000020,SOUBI_HONOWOBATUGUNGUARD,0,１度だけ炎タイプの技からの効果抜群を半減する。ダメージ計算の相性倍率を1/2にする。技のヒット音後にエフェクト発動。「○○○のみは　技名の　いりょくを　よわめた！」の後、ＨＰを削る処理実行。,10,0,60,ほのお,0,ポケモンに　もたせると,こうかばつぐんの　ほのお　わざを,うけたとき　いりょくが　よわまる。,ポケモンに　もたせると,こうかばつぐんの　ほのお　わざを,うけたとき　いりょくが　よわまる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
185,きのみ,イトケのみ,イトケのみ,item_421,item_421,000020,SOUBI_MIZUBATUGUNGUARD,0,１度だけ水タイプの技からの効果抜群を半減する。ダメージ計算の相性倍率を1/2にする。技のヒット音後にエフェクト発動。「○○○のみは　技名の　いりょくを　よわめた！」の後、ＨＰを削る処理実行。,10,0,60,みず,0,ポケモンに　もたせると,こうかばつぐんの　みず　わざを,うけたとき　いりょくが　よわまる。,ポケモンに　もたせると,こうかばつぐんの　みず　わざを,うけたとき　いりょくが　よわまる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
186,きのみ,ソクノのみ,ソクノのみ,item_422,item_422,000020,SOUBI_DENKIBATUGUNGUARD,0,１度だけ電気タイプの技からの効果抜群を半減する。ダメージ計算の相性倍率を1/2にする。技のヒット音後にエフェクト発動。「○○○のみは　技名の　いりょくを　よわめた！」の後、ＨＰを削る処理実行。,10,0,60,でんき,0,ポケモンに　もたせると,こうかばつぐんの　でんき　わざを,うけたとき　いりょくが　よわまる。,ポケモンに　もたせると,こうかばつぐんの　でんき　わざを,うけたとき　いりょくが　よわまる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
187,きのみ,リンドのみ,リンドのみ,item_423,item_423,000020,SOUBI_KUSABATUGUNGUARD,0,１度だけ草タイプの技からの効果抜群を半減する。ダメージ計算の相性倍率を1/2にする。技のヒット音後にエフェクト発動。「○○○のみは　技名の　いりょくを　よわめた！」の後、ＨＰを削る処理実行,10,0,60,くさ,0,ポケモンに　もたせると,こうかばつぐんの　くさ　わざを,うけたとき　いりょくが　よわまる。,ポケモンに　もたせると,こうかばつぐんの　くさ　わざを,うけたとき　いりょくが　よわまる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
188,きのみ,ヤチェのみ,ヤチェのみ,item_424,item_424,000020,SOUBI_KOORIBATUGUNGUARD,0,１度だけ氷タイプの技からの効果抜群を半減する。ダメージ計算の相性倍率を1/2にする。技のヒット音後にエフェクト発動。「○○○のみは　技名の　いりょくを　よわめた！」の後、ＨＰを削る処理実行。,10,0,60,こおり,0,ポケモンに　もたせると,こうかばつぐんの　こおり　わざを,うけたとき　いりょくが　よわまる。,ポケモンに　もたせると,こうかばつぐんの　こおり　わざを,うけたとき　いりょくが　よわまる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
189,きのみ,ヨプのみ,ヨプのみ,item_425,item_425,000020,SOUBI_KAKUTOUBATUGUNGUARD,0,１度だけ格闘タイプの技からの効果抜群を半減する。ダメージ計算の相性倍率を1/2にする。技のヒット音後にエフェクト発動。「○○○のみは　技名の　いりょくを　よわめた！」の後、ＨＰを削る処理実行。,10,0,60,かくとう,0,ポケモンに　もたせると,こうかばつぐんの　かくとう　わざを,うけたとき　いりょくが　よわまる。,ポケモンに　もたせると,こうかばつぐんの　かくとう　わざを,うけたとき　いりょくが　よわまる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
190,きのみ,ビアーのみ,ビアーのみ,item_426,item_426,000020,SOUBI_DOKUBATUGUNGUARD,0,１度だけ毒タイプの技からの効果抜群を半減する。ダメージ計算の相性倍率を1/2にする。技のヒット音後にエフェクト発動。「○○○のみは　技名の　いりょくを　よわめた！」の後、ＨＰを削る処理実行。,10,0,60,どく,0,ポケモンに　もたせると,こうかばつぐんの　どく　わざを,うけたとき　いりょくが　よわまる。,ポケモンに　もたせると,こうかばつぐんの　どく　わざを,うけたとき　いりょくが　よわまる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
191,きのみ,シュカのみ,シュカのみ,item_427,item_427,000020,SOUBI_ZIMENBATUGUNGUARD,0,１度だけ地面タイプの技からの効果抜群を半減する。ダメージ計算の相性倍率を1/2にする。技のヒット音後にエフェクト発動。「○○○のみは　技名の　いりょくを　よわめた！」の後、ＨＰを削る処理実行。,10,0,60,じめん,0,ポケモンに　もたせると,こうかばつぐんの　じめん　わざを,うけたとき　いりょくが　よわまる。,ポケモンに　もたせると,こうかばつぐんの　じめん　わざを,うけたとき　いりょくが　よわまる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
192,きのみ,バコウのみ,バコウのみ,item_428,item_428,000020,SOUBI_HIKOUBATUGUNGUARD,0,１度だけ飛行タイプの技からの効果抜群を半減する。ダメージ計算の相性倍率を1/2にする。技のヒット音後にエフェクト発動。「○○○のみは　技名の　いりょくを　よわめた！」の後、ＨＰを削る処理実行。,10,0,60,ひこう,0,ポケモンに　もたせると,こうかばつぐんの　ひこう　わざを,うけたとき　いりょくが　よわまる。,ポケモンに　もたせると,こうかばつぐんの　ひこう　わざを,うけたとき　いりょくが　よわまる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
193,きのみ,ウタンのみ,ウタンのみ,item_429,item_429,000020,SOUBI_ESUPAABATUGUNGUARD,0,１度だけエスパータイプの技からの効果抜群を半減する。ダメージ計算の相性倍率を1/2にする。技のヒット音後にエフェクト発動。「○○○のみは　技名の　いりょくを　よわめた！」の後、ＨＰを削る処理実行。,10,0,60,エスパー,0,ポケモンに　もたせると,こうかばつぐんの　エスパー　わざを,うけたとき　いりょくが　よわまる。,ポケモンに　もたせると,こうかばつぐんの　エスパー　わざを,うけたとき　いりょくが　よわまる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
194,きのみ,タンガのみ,タンガのみ,item_430,item_430,000020,SOUBI_MUSIGUARD,0,１度だけ虫タイプの技からの効果抜群を半減する。ダメージ計算の相性倍率を1/2にする。技のヒット音後にエフェクト発動。「○○○のみは　技名の　いりょくを　よわめた！」の後、ＨＰを削る処理実行。,10,0,60,むし,0,ポケモンに　もたせると,こうかばつぐんの　むし　わざを,うけたとき　いりょくが　よわまる。,ポケモンに　もたせると,こうかばつぐんの　むし　わざを,うけたとき　いりょくが　よわまる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
195,きのみ,ヨロギのみ,ヨロギのみ,item_431,item_431,000020,SOUBI_IWAGUARD,0,１度だけ岩タイプの技からの効果抜群を半減する。ダメージ計算の相性倍率を1/2にする。技のヒット音後にエフェクト発動。「○○○のみは　技名の　いりょくを　よわめた！」の後、ＨＰを削る処理実行。,10,0,60,いわ,0,ポケモンに　もたせると,こうかばつぐんの　いわ　わざを,うけたとき　いりょくが　よわまる。,ポケモンに　もたせると,こうかばつぐんの　いわ　わざを,うけたとき　いりょくが　よわまる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
196,きのみ,カシブのみ,カシブのみ,item_432,item_432,000020,SOUBI_GOOSUTOGUARD,0,１度だけゴーストタイプの技からの効果抜群を半減する。ダメージ計算の相性倍率を1/2にする。技のヒット音後にエフェクト発動。「○○○のみは　技名の　いりょくを　よわめた！」の後、ＨＰを削る処理実行。,10,0,60,ゴースト,0,ポケモンに　もたせると,こうかばつぐんの　ゴースト　わざを,うけたとき　いりょくが　よわまる。,ポケモンに　もたせると,こうかばつぐんの　ゴースト　わざを,うけたとき　いりょくが　よわまる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
197,きのみ,ハバンのみ,ハバンのみ,item_433,item_433,000020,SOUBI_DORAGONGUARD,0,１度だけドラゴンタイプの技からの効果抜群を半減する。ダメージ計算の相性倍率を1/2にする。技のヒット音後にエフェクト発動。「○○○のみは　技名の　いりょくを　よわめた！」の後、ＨＰを削る処理実行。,10,0,60,ドラゴン,0,ポケモンに　もたせると,こうかばつぐんの　ドラゴン　わざを,うけたとき　いりょくが　よわまる。,ポケモンに　もたせると,こうかばつぐんの　ドラゴン　わざを,うけたとき　いりょくが　よわまる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
198,きのみ,ナモのみ,ナモのみ,item_434,item_434,000020,SOUBI_AKUGUARD,0,１度だけ悪タイプの技からの効果抜群を半減する。ダメージ計算の相性倍率を1/2にする。技のヒット音後にエフェクト発動。「○○○のみは　技名の　いりょくを　よわめた！」の後、ＨＰを削る処理実行。,10,0,60,あく,0,ポケモンに　もたせると,こうかばつぐんの　あく　わざを,うけたとき　いりょくが　よわまる。,ポケモンに　もたせると,こうかばつぐんの　あく　わざを,うけたとき　いりょくが　よわまる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
199,きのみ,リリバのみ,リリバのみ,item_435,item_435,000020,SOUBI_HAGANEGUARD,0,１度だけ鋼タイプの技からの効果抜群を半減する。ダメージ計算の相性倍率を1/2にする。技のヒット音後にエフェクト発動。「○○○のみは　技名の　いりょくを　よわめた！」の後、ＨＰを削る処理実行。,10,0,60,はがね,0,ポケモンに　もたせると,こうかばつぐんの　はがね　わざを,うけたとき　いりょくが　よわまる。,ポケモンに　もたせると,こうかばつぐんの　はがね　わざを,うけたとき　いりょくが　よわまる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200,きのみ,ホズのみ,ホズのみ,item_436,item_436,000020,SOUBI_NOOMARUHANGEN,0,１度だけノーマルタイプの技の威力を半減する。ダメージ計算結果を1/2にする。技のヒット音後にエフェクト発動。「○○○のみは　技名の　いりょくを　よわめた！」の後、ＨＰを削る処理実行。,10,0,60,ノーマル,0,ポケモンに　もたせると,ノーマル　わざを　うけたとき,いりょくが　よわまる。,ポケモンに　もたせると,ノーマル　わざを　うけたとき,いりょくが　よわまる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
201,きのみ,チイラのみ,チイラのみ,item_168,item_168,000020,SOUBI_KOUGEKIUP,4,ＨＰが（1/威力）以下になったら、ターンチェックで、攻撃力が１段階アップ,10,NAGETUKERU_KOUGEKIUP,80,くさ,TUIBAMU_KOUGEKIUP,ポケモンに　もたせると,ピンチのとき　じぶんの,こうげきが　あがる。,ポケモンに　もたせると,ピンチのとき　じぶんの,こうげきが　あがる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
202,きのみ,リュガのみ,リュガのみ,item_169,item_169,000020,SOUBI_BOUGYOUP,4,ＨＰが（1/威力）以下になったら、ターンチェックで、防御力が１段階アップ,10,NAGETUKERU_BOUGYOUP,80,こおり,TUIBAMU_BOUGYOUP,ポケモンに　もたせると,ピンチのとき　じぶんの,ぼうぎょが　あがる。,ポケモンに　もたせると,ピンチのとき　じぶんの,ぼうぎょが　あがる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
203,きのみ,カムラのみ,カムラのみ,item_170,item_170,000020,SOUBI_SUBAYASAUP,4,ＨＰが（1/威力）以下になったら、ターンチェックで、素早さが１段階アップ,10,NAGETUKERU_SUBAYASAUP,80,かくとう,TUIBAMU_SUBAYASAUP,ポケモンに　もたせると,ピンチのとき　じぶんの,すばやさが　あがる。,ポケモンに　もたせると,ピンチのとき　じぶんの,すばやさが　あがる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204,きのみ,ヤタピのみ,ヤタピのみ,item_171,item_171,000020,SOUBI_TOKUKOUUP,4,ＨＰが（1/威力）以下になったら、ターンチェックで、特殊攻撃が１段階アップ,10,NAGETUKERU_TOKUKOUUP,80,どく,TUIBAMU_TOKUKOUUP,ポケモンに　もたせると,ピンチのとき　じぶんの,とくこうが　あがる。,ポケモンに　もたせると,ピンチのとき　じぶんの,とくこうが　あがる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
205,きのみ,ズアのみ,ズアのみ,item_172,item_172,000020,SOUBI_TOKUBOUUP,4,ＨＰが（1/威力）以下になったら、ターンチェックで、特殊防御が１段階アップ,10,NAGETUKERU_TOKUBOUUP,80,じめん,TUIBAMU_TOKUBOUUP,ポケモンに　もたせると,ピンチのとき　じぶんの,とくぼうが　あがる。,ポケモンに　もたせると,ピンチのとき　じぶんの,とくぼうが　あがる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
206,きのみ,サンのみ,サンのみ,item_173,item_173,000020,SOUBI_KURITHIKARUUP,4,ＨＰが（1/威力）以下になったら、ターンチェックで、クリティカル率がアップ（きあいだめと同等）,10,NAGETUKERU_KURITHIKARUUP,80,ひこう,TUIBAMU_KURITHIKARUUP,ポケモンに　もたせると,ピンチのとき　こうげきが,きゅうしょに　あたりやすくなる。,ポケモンに　もたせると,ピンチのとき　こうげきが,きゅうしょに　あたりやすくなる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
207,きのみ,スターのみ,スターのみ,item_174,item_174,000020,SOUBI_NOURYOKURNDUP,4,ＨＰが（1/威力）以下になったら、ターンチェックで、攻撃・防御・素早さ・特攻・特防のいずれかが２段階アップ,10,NAGETUKERU_NOURYOKURNDUP,80,エスパー,TUIBAMU_NOURYOKURNDUP,ポケモンに　もたせると,ピンチのとき　どれか　１つの,のうりょくが　ぐーんと　あがる。,ポケモンに　もたせると,ピンチのとき　どれか　１つの,のうりょくが　ぐーんと　あがる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
208,きのみ,ナゾのみ,ナゾのみ,item_175,item_175,000020,SOUBI_BATUGUNKAIHUKU,4,効果抜群を受けたときに、自分の最大ＨＰの1/（威力）回復する。,10,0,80,むし,0,ポケモンに　もたせると,こうかばつぐんの　わざを,うけたとき　ＨＰを　かいふくする。,ポケモンに　もたせると,こうかばつぐんの　わざを,うけたとき　ＨＰを　かいふくする。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
209,きのみ,ミクルのみ,ミクルのみ,item_437,item_437,000020,SOUBI_ITIDODAKEMEITYUUUP,4,ＨＰが（1/威力）以下になったら、１度だけ次のターン命中率が２割上がる。,10,NAGETUKERU_ITIDODAKEMEITYUUUP,80,いわ,TUIBAMU_ITIDODAKEMEITYUUUP,ポケモンに　もたせると,ピンチのとき　いちどだけ,わざの　めいちゅうりつが　あがる。,ポケモンに　もたせると,ピンチのとき　いちどだけ,わざの　めいちゅうりつが　あがる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
210,きのみ,イバンのみ,イバンのみ,item_438,item_438,000020,SOUBI_ITIDODAKESENSEI,4,ＨＰが（1/威力）以下になったら、１度だけ次のターン先制攻撃ができる。,10,0,80,ゴースト,0,ポケモンに　もたせると,ピンチのとき　いちどだけ,こうどうが　はやくなる。,ポケモンに　もたせると,ピンチのとき　いちどだけ,こうどうが　はやくなる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
211,きのみ,ジャポのみ,ジャポのみ,item_439,item_439,000020,SOUBI_BUTURIDEKOUGEKI,8,１度だけ物理攻撃を受けると相手のＨＰの1/威力ダメージを与える。,10,0,80,ドラゴン,0,ポケモンに　もたせると,ぶつりわざを　うけたとき,あいてにも　ダメージを　あたえる。,ポケモンに　もたせると,ぶつりわざを　うけたとき,あいてにも　ダメージを　あたえる。,0,0,NUTS,0,0,0,0,0,KINOMI,0,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
